stock_code,날짜,순이익(원)
278470,2025-03-10,0
278470,2025-03-11,50000
278470,2025-03-12,220000
278470,2025-03-13,240000
278470,2025-03-14,210000
278470,2025-03-17,380000
278470,2025-03-18,160000
278470,2025-03-19,150000
278470,2025-03-20,340000
278470,2025-03-21,250000
278470,2025-03-24,360000
278470,2025-03-25,350000
278470,2025-03-26,450000
278470,2025-03-27,600000
278470,2025-03-28,500000
278470,2025-03-31,450000
278470,2025-04-01,540000
278470,2025-04-02,-90000
278470,2025-04-03,-140000
278470,2025-04-04,-100000
278470,2025-04-07,-310000
278470,2025-04-08,-290000
278470,2025-04-09,-240000
278470,2025-04-10,60000
278470,2025-04-11,250000
278470,2025-04-14,230000
278470,2025-04-15,50000
278470,2025-04-16,310000
278470,2025-04-17,620000
278470,2025-04-18,670000
278470,2025-04-21,640000
278470,2025-04-22,640000
278470,2025-04-23,580000
278470,2025-04-24,950000
278470,2025-04-25,960000
278470,2025-04-28,970000
278470,2025-04-29,1110000
278470,2025-04-30,1000000
278470,2025-05-02,1090000
278470,2025-05-07,1110000
278470,2025-05-08,3310000
278470,2025-05-09,3740000
278470,2025-05-12,3720000
278470,2025-05-13,4380000
278470,2025-05-14,4410000
278470,2025-05-15,4520000
278470,2025-05-16,4730000
278470,2025-05-19,4850000
278470,2025-05-20,4780000
278470,2025-05-21,4950000
278470,2025-05-22,4860000
278470,2025-05-23,4620000
278470,2025-05-26,4460000
278470,2025-05-27,5290000
278470,2025-05-28,5000000
278470,2025-05-29,4900000
278470,2025-05-30,5000000
278470,2025-06-02,5790000
278470,2025-06-04,5950000
278470,2025-06-05,5550000
278470,2025-06-09,6260000
278470,2025-06-10,6370000
278470,2025-06-11,7070000
278470,2025-06-12,6980000
278470,2025-06-13,6570000
278470,2025-06-16,6730000
278470,2025-06-17,6590000
278470,2025-06-18,6830000
278470,2025-06-19,7170000
278470,2025-06-20,7450000
278470,2025-06-23,7590000
278470,2025-06-24,7590000
278470,2025-06-25,8630000
278470,2025-06-26,8400000
278470,2025-06-27,8340000
278470,2025-06-30,8890000
278470,2025-07-01,8890000
278470,2025-07-02,8130000
278470,2025-07-03,8140000
278470,2025-07-04,7250000
278470,2025-07-07,8420000
278470,2025-07-08,9590000
278470,2025-07-09,9800000
278470,2025-07-10,9550000
278470,2025-07-11,10100000
278470,2025-07-14,10890000
278470,2025-07-15,11080000
278470,2025-07-16,10690000
278470,2025-07-17,11250000
278470,2025-07-18,10470000
278470,2025-07-21,10700000
